C:A:(['2', '12', '17', '8', '13', '11', '9', '14', 'C', ['1e', '1g', '1a', '1b'], 0.25], 'A')
D:B:(['2', '13', '4', '16', '14', '12', '17', '8', 'a', ['1c', '2d', '1f'], 0.25], 'B')
A:D:(['2', '17', '8', '13', '11', '16', '7', '12', 'G', ['1d', '1e', '2a'], 0.25], 'D')
C#:A:(['1', '10', '15', '13', '11', '16', '7', '12', 'A', ['1c#', '1e', '1a', '1b'], 0.25], 'A')
B-:E:(['1', '12', '17', '8', '13', '11', '9', '14', 'c', ['1e-', '1g', '1a-', '1b-'], 0.5], 'E')
D:A:(['1', '12', '10', '15', '13', '11', '9', '14', 'D', ['1c#', '1d', '1g', '1a'], 0.25], 'A')
C#:E:(['2', '6', '18', '9', '14', '12', '10', '15', 'D', ['1c#', '1e', '1g', '1b'], 0.125], 'E')
B:D:(['2', '18', '9', '14', '12', '10', '15', '6', 'G', ['1d', '1f#', '1a', '1b'], 0.25], 'D')
C:E:(['2', '6', '18', '9', '14', '12', '10', '15', 'G', ['1c', '1e', '1g', '1b'], 0.25], 'E')
B:G:(['2', '12', '17', '8', '20', '4', '16', '7', 'G', ['1d', '1g#', '2b'], 0.25], 'G')
G:D:(['2', '14', '12', '10', '15', '6', '18', '9', 'G', ['1d', '1f#', '1g', '1b'], 0.25], 'D')
G:B:(['2', '11', '16', '7', '12', '10', '15', '13', 'd', ['1e', '1f', '1g', '1b'], 0.25], 'B')
D:B:(['1', '16', '7', '12', '17', '8', '20', '4', 'B-', ['2d', '1f', '1b-'], 0.5], 'B')
E:B:(['2', '10', '15', '6', '18', '9', '14', '12', 'D', ['1d', '1e', '1g', '1b'], 0.25], 'B')
B:D:(['2', '18', '2', '14', '12', '10', '22', '6', 'C', ['2d', '2f'], 0.25], 'D')
A:F:(['2', '17', '8', '20', '4', '16', '7', '12', 'G', ['1c', '1f#', '2a'], 0.25], 'F')
A-:F:(['1', '9', '14', '12', '10', '15', '6', '18', 'E-', ['1c', '1e-', '1g', '1a-'], 0.25], 'F')
D:B:(['4', '17', '8', '13', '11', '9', '21', '5', 'D', ['1d', '2f#', '1b'], 0.125], 'B')
C#:E:(['2', '6', '18', '9', '14', '12', '10', '15', 'b', ['1c#', '1e', '1g', '1b'], 0.25], 'E')
F:B:(['2', '13', '11', '16', '7', '12', '17', '8', 'B-', ['1c', '2f', '1b-'], 0.5], 'B')
G:B:(['2', '14', '12', '10', '15', '6', '18', '9', 'E-', ['1d', '1f', '1g', '1b-'], 0.25], 'B')
E:C:(['1', '10', '15', '6', '18', '9', '14', '12', 'C', ['1d', '1e', '1g', '1b-'], 0.25], 'C')
B:D:(['2', '11', '9', '14', '12', '10', '15', '13', 'a', ['1c', '1d', '1f', '1g#'], 0.25], 'D')
B-:G:(['1', '12', '17', '8', '20', '4', '16', '7', 'B-', ['1d', '1g', '2b-'], 0.5], 'G')
E:D:(['2', '9', '14', '5', '17', '8', '13', '18', 'D', ['1d', '1e', '2g'], 0.25], 'D')
D:B:(['2', '19', '3', '15', '13', '11', '16', '7', 'F', ['2d', '1f', '1a'], 0.25], 'B')
B-:G:(['2', '12', '17', '8', '20', '4', '16', '7', 'F', ['1d', '1g', '2b-'], 0.25], 'G')
E:G:(['1', '10', '22', '6', '18', '2', '14', '12', 'A', ['2g#', '2b'], 0.5], 'G')
B:F:(['1', '15', '6', '18', '9', '14', '12', '10', 'B-', ['1c', '1d', '1f', '1a'], 0.5], 'F')
C#:E:(['4', '4', '16', '7', '12', '17', '8', '20', 'D', ['1c#', '2e', '1g'], 0.125], 'E')
F#:D:(['1', '12', '10', '15', '6', '18', '9', '14', 'D', ['1c', '1e', '1f#', '1a'], 0.5], 'D')
F:C:(['1', '9', '14', '12', '10', '15', '13', '11', 'F', ['1c', '1e', '1f', '1b-'], 0.25], 'C')
E:G:(['2', '8', '20', '4', '16', '7', '12', '17', 'F', ['1e', '2g', '1b-'], 0.25], 'G')
F:D:(['2', '16', '7', '19', '3', '15', '13', '11', 'F', ['1c', '2f', '1a'], 0.25], 'D')
B-:G:(['2', '18', '9', '14', '12', '10', '15', '6', 'F', ['1d', '1f', '1a', '1b-'], 0.25], 'G')
E:D:(['1', '11', '9', '7', '19', '10', '15', '13', 'a', ['2d', '1e', '1g'], 0.5], 'D')
E:C:(['2', '6', '18', '2', '14', '12', '10', '22', 'A', ['2e', '2g#'], 0.25], 'C')
E:C:(['2', '10', '15', '6', '18', '9', '14', '12', 'e', ['1d#', '1e', '1g', '1b'], 0.25], 'C')
E-:C:(['1', '10', '15', '6', '18', '9', '14', '12', 'E-', ['1d-', '1e-', '1g', '1b-'], 0.25], 'C')
B:G:(['1', '17', '8', '13', '11', '9', '21', '5', 'a', ['1d', '2f', '1b'], 0.25], 'G')
B:G:(['2', '16', '7', '12', '17', '8', '20', '4', 'G', ['2d', '1f#', '1b'], 0.25], 'G')
G:E:(['2', '11', '16', '7', '12', '10', '15', '13', 'B-', ['1e-', '1f', '1g', '1b-'], 0.25], 'E')
B:D:(['2', '18', '9', '14', '12', '10', '15', '6', 'A', ['1d#', '1f#', '1a', '1b'], 0.25], 'D')
F:C:(['8', '2', '14', '19', '10', '15', '6', '18', 'F', ['3c', '1g'], 0.25], 'C')
E-:A:(['2', '11', '9', '14', '12', '17', '8', '13', 'E-', ['1c', '1d', '1e-', '1a-'], 0.25], 'A')
B:G:(['1', '13', '11', '9', '21', '5', '17', '8', 'D', ['2d', '1g#', '1b'], 0.5], 'G')
C:F:(['2', '13', '11', '16', '14', '12', '10', '8', 'F', ['1c', '1d', '1a', '1b-'], 0.25], 'F')
C:E:(['2', '6', '18', '9', '14', '12', '10', '15', 'A-', ['1c', '1e-', '1g', '1b-'], 0.25], 'E')
D:B:(['4', '18', '9', '14', '12', '10', '15', '6', 'D', ['1d', '1f#', '1a', '1b'], 0.125], 'B')
E-:C:(['1', '5', '17', '8', '13', '18', '9', '14', 'E-', ['1c', '2e-', '1b-'], 0.25], 'C')
B:G:(['2', '15', '13', '11', '16', '7', '12', '10', 'G', ['1d', '1g', '1a', '1b'], 0.25], 'G')
G:D:(['2', '16', '7', '12', '17', '8', '13', '11', 'G', ['2d', '1g', '1a'], 0.25], 'D')
B:A:(['1', '14', '12', '10', '15', '6', '18', '9', 'C', ['1d#', '1f#', '1g', '1b'], 0.25], 'A')
E:G:(['2', '8', '20', '4', '16', '7', '12', '17', 'g', ['1e', '2g', '1b-'], 0.25], 'G')
A:G:(['2', '15', '13', '11', '16', '7', '12', '10', 'A', ['1d', '1g#', '1a', '1b'], 0.25], 'G')
C:A:(['2', '3', '15', '13', '11', '16', '7', '19', 'E-', ['2c', '1e-', '1g'], 0.25], 'A')
G#:B:(['4', '14', '12', '10', '15', '6', '18', '9', 'D', ['1d', '1f#', '1g#', '1b'], 0.125], 'B')
B:G:(['2', '16', '14', '12', '17', '8', '13', '4', 'G', ['1d', '1a', '2b'], 0.25], 'G')
A:C:(['2', '7', '12', '17', '8', '20', '4', '16', 'F', ['2c', '1e', '1a'], 0.25], 'C')
D:C:(['2', '15', '6', '18', '9', '14', '12', '10', 'd', ['1c', '1d', '1f#', '1a'], 0.25], 'C')
C:E:(['2', '4', '16', '7', '12', '17', '8', '20', 'G', ['1c', '2e', '1g'], 0.25], 'E')
E-:C:(['2', '7', '12', '10', '15', '13', '11', '16', 'E-', ['1c', '1d', '1e-', '1g'], 0.25], 'C')
F:C:(['2', '9', '7', '19', '10', '15', '13', '11', 'a', ['2c', '1d', '1f'], 0.25], 'C')
A:F:(['1', '7', '12', '17', '8', '20', '4', '16', 'A', ['2c#', '1e', '1a'], 0.25], 'F')
A:C:(['2', '9', '14', '12', '10', '15', '6', '18', 'F', ['1c', '1e', '1g', '1a'], 0.25], 'C')
E:G:(['2', '8', '20', '4', '16', '7', '12', '17', 'G', ['1e', '2g', '1b'], 0.25], 'G')
G:B:(['2', '14', '12', '10', '15', '6', '18', '9', 'F', ['1d', '1f', '1g', '1b-'], 0.25], 'B')
C:A:(['1', '7', '12', '17', '8', '20', '4', '16', 'c', ['2c', '1e-', '1a-'], 0.5], 'A')
B:D:(['2', '18', '9', '14', '12', '10', '15', '6', 'G', ['1d', '1f#', '1a', '1b'], 0.25], 'D')
A:B:(['2', '14', '12', '10', '8', '13', '18', '9', 'e', ['1e', '2f#', '1b'], 0.25], 'B')
A:C:(['4', '8', '13', '11', '9', '14', '12', '17', 'D', ['1c#', '1e', '1f#', '1g'], 0.125], 'C')
A:D:(['4', '17', '8', '13', '11', '9', '14', '12', 'D', ['1d', '1f#', '1g', '1a'], 0.125], 'D')
B-:G:(['2', '12', '17', '8', '20', '4', '16', '7', 'E-', ['1d', '1g', '2b-'], 0.25], 'G')
E-:A:(['2', '11', '9', '7', '12', '17', '15', '13', 'A-', ['1d-', '2e-', '1f'], 0.25], 'A')
A:D:(['2', '14', '12', '10', '8', '20', '4', '16', 'G', ['2e', '2a'], 0.25], 'D')
E:B:(['2', '12', '17', '8', '13', '11', '16', '7', 'e', ['1e', '1f#', '2b'], 0.25], 'B')
F#:A:(['2', '17', '8', '20', '4', '16', '7', '12', 'G', ['1c', '1f#', '2a'], 0.25], 'A')
D:B:(['2', '15', '6', '18', '9', '14', '12', '10', 'g', ['1c', '1d', '1f', '1a'], 0.25], 'B')
F:D:(['1', '16', '7', '12', '10', '15', '13', '11', 'a', ['1d', '1e', '1f', '1a'], 0.5], 'D')
B-:F:(['2', '18', '9', '14', '12', '10', '15', '6', 'F', ['1d', '1f', '1a', '1b-'], 0.25], 'F')
B:A:(['2', '18', '9', '14', '12', '10', '15', '6', 'C', ['1d#', '1f#', '1a', '1b'], 0.25], 'A')
F:D:(['2', '20', '4', '16', '7', '12', '17', '8', 'F', ['1d', '2f', '1a'], 0.25], 'D')
G#:D:(['2', '13', '11', '9', '21', '5', '17', '8', 'A', ['2d', '1g#', '1b'], 0.25], 'D')
E:C:(['2', '4', '16', '7', '12', '17', '8', '20', 'A', ['1c#', '2e', '1g#'], 0.25], 'C')
B-:E:(['1', '9', '21', '5', '17', '8', '13', '11', 'E-', ['1e-', '1g', '2b-'], 0.25], 'E')
B:G:(['2', '18', '9', '14', '12', '10', '15', '6', 'G', ['1d', '1f#', '1a', '1b'], 0.25], 'G')
D:F:(['2', '21', '5', '17', '8', '13', '11', '9', 'E-', ['1d', '1f#', '2a'], 0.25], 'F')
E:G:(['2', '7', '19', '10', '15', '6', '11', '16', 'F', ['1c', '2g', '1b-'], 0.25], 'G')
E:C:(['2', '4', '16', '7', '12', '17', '8', '20', 'G', ['1c#', '2e', '1g'], 0.25], 'C')
A-:F:(['2', '13', '11', '16', '7', '12', '10', '15', 'A-', ['1c', '1f', '1g', '1a-'], 0.25], 'F')
E:C:(['2', '9', '14', '5', '17', '8', '13', '18', 'E-', ['1d-', '1e', '2g'], 0.25], 'C')
D:A:(['2', '15', '6', '18', '9', '14', '12', '10', 'D', ['1c#', '1d', '1f#', '1a'], 0.25], 'A')
B:A:(['1', '8', '13', '11', '9', '21', '5', '17', 'B-', ['1c', '2e-', '1a'], 0.5], 'A')
A:C:(['2', '9', '14', '12', '10', '15', '6', '18', 'G', ['1c', '1e', '1g', '1a'], 0.25], 'C')
D:F:(['2', '20', '4', '16', '7', '12', '17', '8', 'F', ['1d', '2f', '1a'], 0.25], 'F')
G:D:(['2', '11', '9', '14', '12', '10', '15', '13', 'G', ['1c', '1d', '1f#', '1g'], 0.25], 'D')
F:D:(['4', '20', '4', '16', '7', '12', '17', '8', 'E-', ['1d-', '2f', '1a-'], 0.25], 'D')
B:G:(['2', '15', '13', '11', '16', '7', '12', '10', 'G', ['1d', '1g', '1a', '1b'], 0.25], 'G')
B:G:(['2', '18', '9', '14', '12', '10', '15', '6', 'G', ['1d', '1f#', '1a', '1b'], 0.25], 'G')
A:E:(['2', '9', '14', '12', '10', '15', '6', '18', 'D', ['1c#', '1e', '1g', '1a'], 0.25], 'E')
E:G:(['2', '9', '21', '5', '17', '8', '13', '11', 'F', ['1e', '1g', '2b-'], 0.25], 'G')
C#:G:(['2', '6', '18', '9', '14', '12', '10', '15', 'D', ['1c#', '1e', '1g', '1b'], 0.25], 'G')
A:D:(['2', '13', '11', '16', '7', '19', '3', '15', 'G', ['1c#', '1e', '2a'], 0.25], 'D')
B:G:(['2', '15', '13', '11', '16', '7', '12', '10', 'G', ['1d', '1g', '1a', '1b'], 0.25], 'G')
D:G:(['1', '17', '8', '13', '18', '9', '14', '5', 'a', ['2d', '1a', '1b'], 0.5], 'G')
D:F:(['2', '15', '6', '18', '9', '14', '12', '10', 'g', ['1c', '1d', '1f#', '1a'], 0.25], 'F')
C:G:(['1', '12', '17', '8', '13', '4', '16', '14', 'E-', ['1f', '2g', '1b'], 0.25], 'G')
B-:G:(['2', '15', '13', '11', '16', '7', '12', '10', 'F', ['1d', '1g', '1a', '1b-'], 0.25], 'G')
G:E:(['2', '11', '16', '7', '12', '10', '15', '13', 'G', ['1e', '1f#', '1g', '1b'], 0.25], 'E')
G:E:(['2', '13', '18', '9', '14', '5', '17', '8', 'e', ['1f#', '1g', '2b'], 0.25], 'E')
B:D:(['2', '18', '9', '14', '12', '10', '15', '6', 'G', ['1d', '1f#', '1a', '1b'], 0.25], 'D')
A:F:(['2', '13', '11', '16', '7', '19', '3', '15', 'C', ['1c', '1e', '2a'], 0.25], 'F')
F:D:(['2', '14', '12', '10', '8', '13', '11', '16', 'A-', ['1e-', '1f', '1g', '1a-'], 0.25], 'D')
A:C:(['2', '9', '14', '12', '10', '15', '6', '18', 'F', ['1c', '1e', '1g', '1a'], 0.25], 'C')
C#:E:(['2', '5', '17', '8', '13', '11', '9', '21', 'D', ['1c#', '1e', '2g'], 0.25], 'E')
B-:F:(['2', '18', '9', '14', '12', '10', '15', '6', 'g', ['1d', '1f#', '1a', '1b-'], 0.25], 'F')
C:G:(['2', '10', '15', '13', '11', '9', '7', '19', 'G', ['1c', '2g', '1a'], 0.25], 'G')
G:A:(['2', '11', '9', '14', '12', '17', '8', '13', 'b', ['1c#', '1d', '1e', '1a#'], 0.25], 'A')
A:F:(['2', '8', '13', '18', '9', '14', '5', '17', 'G', ['2c', '1g', '1a'], 0.25], 'F')
G:D:(['2', '16', '7', '12', '17', '8', '13', '11', 'e', ['2d', '1g', '1a'], 0.25], 'D')
D#:D:(['2', '20', '4', '16', '7', '12', '17', '8', 'e', ['1d#', '2f#', '1a'], 0.25], 'D')
A:C:(['2', '9', '14', '12', '10', '15', '6', '18', 'G', ['1c', '1e', '1g', '1a'], 0.25], 'C')
C:A:(['1', '6', '18', '9', '14', '12', '10', '15', 'c', ['1c', '1e-', '1g', '1b-'], 0.5], 'A')
E:G:(['2', '9', '21', '5', '17', '8', '13', '11', 'F', ['1e', '1g', '2b-'], 0.25], 'G')
A:D:(['2', '17', '8', '13', '11', '16', '7', '12', 'G', ['1d', '1e', '2a'], 0.25], 'D')
F#:A:(['2', '17', '8', '20', '4', '16', '7', '12', 'G', ['1c', '1f#', '2a'], 0.25], 'A')
C#:A:(['2', '4', '16', '14', '12', '17', '8', '13', 'A', ['2c#', '1e', '1b'], 0.25], 'A')
B:F:(['2', '8', '13', '11', '9', '14', '12', '17', 'C', ['1c', '1e', '1f', '1g'], 0.25], 'F')
D:B:(['2', '12', '10', '15', '13', '11', '16', '7', 'F', ['1c', '1d', '1f', '1b-'], 0.25], 'B')
G:C:(['2', '9', '14', '12', '10', '8', '13', '18', 'C', ['1c', '1f', '2g'], 0.25], 'C')
A:C:(['2', '8', '13', '11', '9', '21', '5', '17', 'B-', ['1c', '2e-', '1a'], 0.25], 'C')
E:A:(['2', '12', '17', '8', '13', '11', '9', '14', 'A', ['1e', '1g#', '1a', '1b'], 0.25], 'A')
C:G:(['2', '8', '13', '11', '16', '7', '12', '17', 'C', ['1c', '1d', '2g'], 0.25], 'G')
A:F:(['2', '14', '12', '17', '8', '13', '4', '16', 'C', ['1c', '1g', '2a'], 0.25], 'F')
D:E:(['2', '21', '5', '17', '8', '13', '11', '9', 'G', ['1d', '1f#', '2a'], 0.25], 'E')
B:D:(['2', '18', '2', '14', '12', '10', '22', '6', 'C', ['2d', '2f'], 0.5], 'D')
D:A:(['2', '15', '6', '18', '9', '14', '12', '10', 'D', ['1c#', '1d', '1f#', '1a'], 0.25], 'A')
F#:B:(['2', '18', '9', '14', '5', '17', '8', '13', 'A', ['1e', '1f#', '2a'], 0.25], 'B')
F:D:(['2', '12', '10', '15', '6', '18', '9', '14', 'F', ['1c', '1e', '1f', '1a'], 0.25], 'D')
F#:A:(['2', '11', '9', '21', '5', '17', '8', '13', 'G', ['2c', '1f#', '1a'], 0.25], 'A')
C:A:(['2', '4', '16', '14', '12', '17', '8', '13', 'a', ['2c', '1e', '1b'], 0.25], 'A')
A:C:(['2', '6', '11', '16', '7', '19', '10', '15', 'C', ['2c', '1e', '1f#'], 0.25], 'C')
C:G:(['2', '6', '18', '9', '14', '12', '10', '15', 'B-', ['1c', '1e-', '1g', '1b'], 0.25], 'G')
F#:A:(['2', '17', '8', '20', '4', '16', '7', '12', 'F', ['1c', '1f#', '2a'], 0.25], 'A')
D:F:(['8', '21', '5', '17', '1', '13', '18', '9', 'F', ['3f', '1a'], 0.25], 'F')
F#:D:(['2', '18', '9', '14', '5', '17', '8', '13', 'G', ['1e', '1f#', '2a'], 0.25], 'D')
E:C:(['2', '10', '15', '6', '18', '9', '14', '12', 'G', ['1d', '1e', '1g', '1b'], 0.25], 'C')
B-:G:(['2', '18', '9', '14', '12', '10', '15', '6', 'F', ['1d', '1f', '1a', '1b-'], 0.25], 'G')
B:E:(['1', '12', '17', '8', '13', '11', '16', '7', 'E', ['1e', '1f#', '2b'], 0.5], 'E')
C:E:(['1', '9', '21', '5', '17', '8', '13', '11', 'B-', ['1e-', '1g', '2b-'], 0.5], 'E')
B:E:(['1', '9', '21', '5', '17', '8', '13', '11', 'E', ['1e', '1g#', '2b'], 0.5], 'E')
E:G:(['4', '9', '21', '5', '17', '8', '13', '11', 'D', ['1e', '1g', '2b'], 0.125], 'G')
E:D:(['2', '11', '9', '14', '12', '17', '8', '13', 'e', ['1c', '1d#', '1e', '1a'], 0.25], 'D')
F:B:(['2', '12', '10', '15', '13', '11', '16', '7', 'F', ['1c', '1d', '1f', '1b-'], 0.25], 'B')
D:E:(['2', '21', '5', '17', '8', '13', '11', '9', 'G', ['1d', '1f#', '2a'], 0.25], 'E')
F:A:(['2', '12', '10', '22', '6', '18', '2', '14', 'A-', ['2c', '2a-'], 0.25], 'A')
B:F:(['1', '16', '14', '12', '10', '8', '20', '4', 'D', ['2f#', '2b'], 0.5], 'F')
B:D:(['2', '16', '7', '12', '17', '8', '20', '4', 'a', ['2d', '1f', '1b'], 0.25], 'D')
A:E:(['2', '16', '14', '12', '10', '15', '6', '11', 'G', ['1e', '2a', '1b'], 0.25], 'E')
A:E:(['2', '13', '18', '9', '14', '12', '10', '8', 'G', ['1e', '1a', '2b'], 0.25], 'E')
C:E:(['2', '6', '18', '9', '14', '12', '10', '15', 'E-', ['1c', '1e-', '1g', '1b-'], 0.25], 'E')
B-:G:(['2', '16', '7', '12', '17', '8', '20', '4', 'g', ['2d', '1f', '1b-'], 0.25], 'G')
B-:D:(['2', '17', '8', '13', '11', '9', '21', '5', 'F', ['1d', '2f', '1b-'], 0.25], 'D')
A:C:(['2', '8', '13', '11', '9', '14', '12', '17', 'C', ['1c', '1e', '1f', '1g'], 0.25], 'C')
D:B:(['2', '12', '10', '15', '13', '11', '16', '7', 'G', ['1c', '1d', '1f#', '1b'], 0.25], 'B')
C:A:(['2', '4', '16', '7', '12', '17', '8', '20', 'G', ['1c', '2e', '1g'], 0.25], 'A')
E:C:(['2', '7', '19', '3', '15', '13', '11', '16', 'd', ['2e', '1g', '1b'], 0.25], 'C')
C:G:(['2', '13', '11', '9', '14', '5', '17', '15', 'F', ['1d', '1f', '2g'], 0.25], 'G')
E:C:(['2', '7', '19', '3', '15', '13', '11', '16', 'd', ['2e', '1g', '1b'], 0.25], 'C')
A:D:(['2', '13', '11', '16', '7', '19', '3', '15', 'G', ['1c#', '1e', '2a'], 0.25], 'D')
A:F:(['1', '17', '8', '20', '4', '16', '7', '12', 'a', ['1c', '1f', '2a'], 0.5], 'F')
B:D:(['1', '15', '6', '18', '9', '14', '12', '10', 'B-', ['1c', '1d', '1f', '1a'], 0.5], 'D')
B-:E:(['2', '15', '13', '11', '9', '14', '12', '10', 'E-', ['1e-', '1f', '1a-', '1b-'], 0.25], 'E')
A:D:(['2', '11', '9', '14', '12', '17', '8', '13', 'G', ['1c', '1d', '1e', '1a'], 0.25], 'D')
D:A:(['2', '15', '6', '18', '9', '14', '12', '10', 'G', ['1c', '1d', '1f#', '1a'], 0.25], 'A')
C#:E:(['2', '6', '18', '9', '14', '12', '10', '15', 'D', ['1c#', '1e', '1g', '1b'], 0.125], 'E')
A:C:(['2', '9', '14', '12', '10', '15', '6', '18', 'F', ['1c', '1e', '1g', '1a'], 0.25], 'C')
G:D:(['2', '18', '9', '14', '12', '10', '8', '13', 'G', ['1d', '1g', '2a'], 0.25], 'D')
D:B:(['2', '16', '7', '12', '17', '8', '20', '4', 'G', ['2d', '1f#', '1b'], 0.25], 'B')
C:E:(['1', '10', '15', '6', '18', '9', '14', '12', 'G', ['1d', '1e', '1g', '1b'], 0.5], 'E')
G#:D:(['2', '13', '11', '9', '21', '5', '17', '8', 'A', ['2d', '1g#', '1b'], 0.25], 'D')
G#:B:(['2', '12', '17', '8', '20', '4', '16', '7', 'A', ['1d#', '1g#', '2b'], 0.25], 'B')
A:D:(['2', '11', '9', '14', '12', '17', '8', '13', 'G', ['1c', '1d', '1e', '1a'], 0.25], 'D')
F#:A:(['2', '17', '8', '20', '4', '16', '7', '12', 'e', ['1c', '1f#', '2a'], 0.25], 'A')
C:E:(['2', '12', '17', '8', '13', '11', '9', '14', 'F', ['1e', '1g', '1a', '1b-'], 0.25], 'E')
G:E:(['2', '11', '16', '7', '12', '10', '15', '13', 'e', ['1e', '1f#', '1g', '1b'], 0.25], 'E')
B-:G:(['2', '15', '13', '11', '16', '7', '12', '10', 'F', ['1d', '1g', '1a', '1b-'], 0.25], 'G')
D:E:(['2', '15', '13', '11', '9', '14', '12', '10', 'a', ['1e', '1f', '1a', '1b'], 0.25], 'E')
G:C:(['2', '12', '17', '8', '13', '4', '16', '14', 'F', ['1f', '2g', '1b-'], 0.25], 'C')
G:D:(['2', '11', '9', '7', '19', '10', '15', '13', 'G', ['2d', '1e', '1g'], 0.25], 'D')
B-:G:(['2', '15', '13', '11', '16', '7', '12', '10', 'C', ['1d', '1g', '1a', '1b-'], 0.25], 'G')
D:B:(['2', '12', '10', '15', '13', '11', '16', '7', 'F', ['1c', '1d', '1f', '1b-'], 0.25], 'B')
B:C:(['1', '8', '13', '11', '9', '21', '5', '17', 'B-', ['1c', '2e-', '1a'], 0.5], 'C')
B:G:(['2', '15', '6', '11', '16', '7', '19', '10', 'a', ['2d', '1f', '1g#'], 0.25], 'G')
D:A:(['2', '13', '11', '9', '14', '12', '10', '15', 'G', ['1d', '1e', '1g', '1a'], 0.25], 'A')
B:D:(['2', '16', '7', '12', '17', '8', '20', '4', 'F', ['2d', '1f', '1b'], 0.25], 'D')
B:E:(['2', '15', '13', '11', '9', '7', '19', '10', 'G', ['2f#', '1g', '1b'], 0.25], 'E')
C:A:(['1', '10', '15', '13', '11', '16', '7', '12', 'G', ['1c', '1e', '1a', '1b'], 0.25], 'A')
B:D:(['2', '18', '9', '14', '12', '10', '15', '6', 'G', ['1d', '1f#', '1a', '1b'], 0.25], 'D')
F#:D:(['1', '12', '10', '15', '6', '18', '9', '14', 'a', ['1c', '1e', '1f#', '1a'], 0.5], 'D')
F:G:(['2', '16', '14', '12', '10', '8', '13', '11', 'F', ['1f', '1g', '1a', '1b-'], 0.25], 'G')
C:E:(['2', '13', '11', '9', '14', '12', '17', '8', 'A-', ['1d-', '1e-', '1f', '1b-'], 0.25], 'E')
F:D:(['2', '16', '7', '12', '10', '15', '13', '11', 'G', ['1d', '1e', '1f', '1a'], 0.25], 'D')
A:F:(['1', '13', '11', '16', '7', '19', '3', '15', 'a', ['1c', '1e', '2a'], 0.5], 'F')
C:F:(['2', '14', '12', '17', '8', '13', '11', '9', 'A-', ['1c', '1f', '1a-', '1b-'], 0.25], 'F')
G:C:(['2', '12', '10', '8', '20', '4', '16', '14', 'F', ['2d', '2g'], 0.25], 'C')
G:D:(['2', '11', '9', '7', '19', '10', '15', '13', 'G', ['2d', '1e', '1g'], 0.25], 'D')
F:C:(['1', '10', '15', '13', '11', '9', '14', '12', 'B-', ['1c', '1f', '1g', '1b-'], 0.5], 'C')
F:A:(['2', '12', '10', '22', '6', '18', '2', '14', 'F', ['2c', '2a'], 0.25], 'A')
B:F:(['1', '9', '14', '12', '10', '8', '13', '18', 'E', ['1c#', '1f#', '2g#'], 0.5], 'F')
G:D:(['2', '14', '12', '10', '15', '6', '18', '9', 'G', ['1d', '1f#', '1g', '1b'], 0.25], 'D')
C:E:(['2', '6', '18', '9', '14', '12', '10', '15', 'B-', ['1c', '1e-', '1g', '1b-'], 0.25], 'E')
G:D:(['2', '16', '7', '12', '17', '8', '13', '11', 'C', ['2d', '1g', '1a'], 0.25], 'D')
B:G:(['2', '17', '8', '13', '18', '9', '14', '5', 'G', ['2d', '1a', '1b'], 0.5], 'G')
C:F:(['2', '14', '12', '17', '8', '13', '11', '9', 'C', ['1c', '1f', '1a', '1b'], 0.25], 'F')
A:D:(['2', '18', '9', '14', '12', '10', '8', '13', 'G', ['1d', '1g', '2a'], 0.25], 'D')
D-:F:(['2', '20', '4', '16', '7', '12', '17', '8', 'A-', ['1d-', '2f', '1a-'], 0.25], 'F')
F:E:(['1', '5', '17', '15', '13', '11', '9', '14', 'B-', ['2c', '1g', '1b-'], 0.5], 'E')
D#:D:(['2', '20', '4', '16', '7', '12', '17', '8', 'e', ['1d#', '2f#', '1a'], 0.25], 'D')
E-:C:(['2', '6', '18', '2', '14', '12', '10', '22', 'c', ['2e-', '2g'], 0.5], 'C')
G:D:(['2', '18', '9', '14', '12', '10', '8', '13', 'G', ['1d', '1g', '2a'], 0.25], 'D')
G:B:(['2', '14', '12', '10', '15', '6', '18', '9', 'E-', ['1d', '1f', '1g', '1b-'], 0.25], 'B')
A:C:(['2', '8', '13', '11', '16', '14', '12', '10', 'A', ['1c#', '1d', '1e', '1b'], 0.25], 'C')
F:C:(['2', '7', '12', '17', '8', '13', '11', '16', 'F', ['2c', '1f', '1g'], 0.25], 'C')
C#:E:(['4', '6', '18', '9', '14', '12', '10', '15', 'F', ['1c#', '1e', '1g', '1b-'], 0.25], 'E')
G:D:(['2', '16', '7', '12', '17', '8', '13', '11', 'C', ['2d', '1g', '1a'], 0.5], 'D')
A:C:(['4', '1', '13', '18', '9', '21', '5', '17', 'a', ['3c', '1e'], 0.5], 'C')
